,Term,Df,Df.res,Sum Sq,Sum Sq.res,F value,Pr(>F),part.eta.sq,,,,,
ewp_rate,ewp_rate,2,1044,29701013,65125098.42,238.06,0.00,0.31,,,,,
ci_rate,ci_rate,2,1044,57291717,41603630.15,718.84,0.00,0.58,,,,,
ab_cri,ab_cri,1,1044,306569,88330410.18,3.62,0.06,0.00,,,,,
iterat_times,iterat_times,1,1044,731433,88014284.52,8.68,0.00,0.01,,,,,
ewp_rate:ci_rate,ewp_rate:ci_rate,4,1044,20875189,74529531.38,73.10,0.00,0.22,,,,,
ewp_rate:ab_cri,ewp_rate:ab_cri,2,1044,1417145,87003854.85,8.50,0.00,0.02,,,,,
ci_rate:ab_cri,ci_rate:ab_cri,2,1044,459431,88236439.08,2.72,0.07,0.01,,,,,
ewp_rate:iterat_times,ewp_rate:iterat_times,2,1044,520432,88049355.83,3.09,0.05,0.01,,,,,
ci_rate:iterat_times,ci_rate:iterat_times,2,1044,604139,88151078.67,3.58,0.03,0.01,,,,,
ab_cri:iterat_times,ab_cri:iterat_times,1,1044,348266,88361200.27,4.11,0.04,0.00,,,,,
ewp_rate:ci_rate:ab_cri,ewp_rate:ci_rate:ab_cri,4,1044,2372429,86427635.45,7.16,0.00,0.03,,,,,
ewp_rate:ci_rate:iterat_times,ewp_rate:ci_rate:iterat_times,4,1044,468397,87910668.83,1.39,0.24,0.01,,,,,
ewp_rate:ab_cri:iterat_times,ewp_rate:ab_cri:iterat_times,2,1044,277212,88493217.1,1.64,0.20,0.00,,,,,
ci_rate:ab_cri:iterat_times,ci_rate:ab_cri:iterat_times,2,1044,273950,88504580.78,1.62,0.20,0.00,,,,,
ewp_rate:ci_rate:ab_cri:iterat_times,ewp_rate:ci_rate:ab_cri:iterat_times,4,1044,282439,88358259.57,0.83,0.50,0.00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,1080